"","2020-04-11","2020-04-13","2020-04-20","2020-04-21","2020-04-23","2020-04-25","2020-04-27","2020-04-28","2020-04-29","2020-04-30","2020-05-01","2020-05-04","2020-05-05","2020-05-06","county","population_2015","primary_city","zip"
"983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",370,"Shirley",61772
"984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ford County",440,"Sibley",61773
"985",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",890,"Stanford",61774
"986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Livingston County",310,"Strawn",61775
"987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"McLean County",1410,"Towanda",61776
"988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",850,"Wapella",61777
"989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",620,"Waynesville",61778
"990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",8,"Normal",61790
"991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",0,"Bloomington",61791
"992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mclean County",0,"Bloomington",61799
"993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",382,"Urbana",61803
"994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",330,"Allerton",61810
"995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",600,"Alvin",61811
"996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",310,"Armstrong",61812
"997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Piatt County",1610,"Bement",61813
"998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",1080,"Bismarck",61814
"999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",325,"Bondville",61815
"1000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",440,"Broadlands",61816
"1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",2330,"Catlin",61817
"1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Piatt County",1560,"Cerro Gordo",61818
"1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",298,"Champaign",61824
"1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",139,"Champaign",61825
"1005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",775,"Champaign",61826
"1006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Piatt County",450,"Cisco",61830
"1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",150,"Collison",61831
"1008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",1740,"Tilton",61833
"1009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",6130,"Danville",61834
"1010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Piatt County",540,"De Land",61839
"1011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",710,"Dewey",61840
"1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",1270,"Fairmount",61841
"1013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"De Witt County",2700,"Farmer City",61842
"1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",2390,"Fisher",61843
"1015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",900,"Fithian",61844
"1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",380,"Foosland",61845
"1017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",4110,"Georgetown",61846
"1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",1120,"Gifford",61847
"1019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",250,"Henning",61848
"1020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Champaign County",1700,"Homer",61849
"1021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vermilion County",460,"Indianola",61850
